,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.05,-0.05,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
1,-0.05,-0.02,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
2,-0.05,-0.01,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
3,-0.05,0.0,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
4,-0.05,0.01,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
5,-0.05,0.02,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
6,-0.05,0.05,0.5,0.5,89.56289821917949,13.175002973646011,91.84688347064747,-272.0277528121327,88.18197694868584,-275.6926593474486,13.43153986365916
7,-0.02,-0.05,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
8,-0.02,-0.02,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
9,-0.02,-0.01,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
10,-0.02,0.0,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
11,-0.02,0.01,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
12,-0.02,0.02,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
13,-0.02,0.05,0.5,0.5,89.53297061721457,13.298449849438288,94.74088280662592,-271.941872608051,90.99009607707396,-275.6926593474486,14.06840112751198
14,-0.01,-0.05,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
15,-0.01,-0.02,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
16,-0.01,-0.01,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
17,-0.01,0.0,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
18,-0.01,0.01,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
19,-0.01,0.02,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
20,-0.01,0.05,0.5,0.5,89.52486105900469,13.36836026328248,95.70505046903007,-271.9137364964324,91.92612760515281,-275.6926593474486,14.28025796253336
21,0.0,-0.05,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
22,0.0,-0.02,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
23,0.0,-0.01,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
24,0.0,0.0,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
25,0.0,0.01,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
26,0.0,0.02,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
27,0.0,0.05,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
28,0.01,-0.05,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
29,0.01,-0.02,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
30,0.01,-0.01,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
31,0.01,0.0,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
32,0.01,0.01,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
33,0.01,0.02,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
34,0.01,0.05,0.5,0.5,89.50594511886197,13.456560387624455,97.6328607689272,-271.857989248138,93.79819066131053,-275.6926593474486,14.704694802397983
35,0.02,-0.05,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
36,0.02,-0.02,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
37,0.02,-0.01,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
38,0.02,0.0,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
39,0.02,0.01,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
40,0.02,0.02,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
41,0.02,0.05,0.5,0.5,89.5017309931576,13.593552454344959,98.59645240899158,-271.830429144455,94.73422218938937,-275.6926593474486,14.916822205062266
42,0.05,-0.05,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
43,0.05,-0.02,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
44,0.05,-0.01,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
45,0.05,0.0,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
46,0.05,0.01,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
47,0.05,0.02,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
48,0.05,0.05,0.5,0.5,89.47541489957761,13.744020424262725,101.48573370925456,-271.74849857780885,97.54157294352812,-275.6926593474486,15.556404161330606
