,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma
0,-0.1,-0.1,0.5,0.5,45.75093612563088,30.0,85.02309005140185,-247.4274630508479,75.30222026661225,-257.32008338875505,96.16487413515665,1.0
1,-0.1,-0.05,0.5,0.5,47.01232623850575,29.99999988121448,87.36724503049393,-257.7624350773392,75.30222026661225,-270.04062529448015,148.1366690254553,0.9999999960404827
2,-0.1,-0.01,0.5,0.5,48.02143740140495,29.999999952850942,89.24256730083823,-266.03041088215195,75.30222026661225,-280.2170588190602,197.76679549288676,0.9999999984283647
3,-0.1,0.0,0.5,0.5,48.27371684150382,29.999999953703806,89.71140093229093,-268.0974079593216,75.30222026661225,-282.76117290436883,211.29283833223175,0.9999999984567935
4,-0.1,0.01,0.5,0.5,48.52602172387727,29.999999954475175,90.18028184542901,-270.1644531535667,75.30222026661225,-285.30538321593554,225.2676898284816,0.9999999984825059
5,-0.1,0.05,0.5,0.5,49.53548145049542,29.999999956942315,92.05625187805029,-278.4330881974213,75.30222026661225,-295.483132686182,285.65698434112176,0.9999999985647439
6,-0.1,0.1,0.5,0.5,50.798496398545396,29.999999959038803,94.40342644177016,-288.77176114300613,75.30222026661225,-308.2060145134918,371.21768048990475,0.9999999986346267
7,-0.05,-0.1,0.5,0.5,47.02048548494539,29.999999905183312,87.3824081106143,-249.82846640934193,80.02085707559282,-257.32008338875505,55.149920728783265,0.9999999968394437
8,-0.05,-0.05,0.5,0.5,48.28187509215858,30.0,89.72656215249253,-260.16343741072484,80.02085707559282,-270.04062529448015,95.86507258885632,1.0
9,-0.05,-0.01,0.5,0.5,49.29098688463941,29.999999927161554,91.60188558521278,-268.43141445873465,80.02085707559282,-280.2170588190602,136.4898833411718,0.9999999975720518
10,-0.05,0.0,0.5,0.5,49.543266388619166,29.99999992143561,92.07071933437861,-270.4984116597673,80.02085707559282,-282.76117290436883,147.7645839098248,0.999999997381187
11,-0.05,0.01,0.5,0.5,49.79557130331163,29.999999920533558,92.53960030685153,-272.5654569163879,80.02085707559282,-285.30538321593554,159.4878661291966,0.9999999973511186
12,-0.05,0.05,0.5,0.5,50.805030690824026,29.99999995369624,94.4155697118614,-280.8340913068162,80.02085707559282,-295.483132686182,210.86874105277775,0.9999999984565413
13,-0.05,0.1,0.5,0.5,52.06750052699567,29.999999956947896,96.76173124488291,-291.17135319291657,80.02085707559282,-308.2060145134918,285.17512168422337,0.9999999985649298
14,-0.01,-0.1,0.5,0.5,48.03506903764065,29.99999963118582,89.26790025705581,-251.7472721087541,83.7918416377191,-257.32008338875505,30.517041243786124,0.9999999877061939
15,-0.01,-0.05,0.5,0.5,49.29645861273422,29.999999915858663,91.61205420068858,-262.082243029889,83.7918416377191,-270.04062529448015,62.236240966469055,0.9999999971952888
16,-0.01,-0.01,0.5,0.5,50.30557028160488,30.0,93.48737740349432,-270.3502197958353,83.7918416377191,-280.2170588190602,95.66429064482348,1.0
17,-0.01,0.0,0.5,0.5,50.55784972933753,30.0,93.95621104973472,-272.41721688709976,83.7918416377191,-282.76117290436883,105.13979014116471,1.0
18,-0.01,0.01,0.5,0.5,50.8101546207272,30.0,94.42509198021725,-274.4842620980415,83.7918416377191,-285.30538321593554,115.06368983306082,1.0
19,-0.01,0.05,0.5,0.5,51.81961437475439,29.99999992480905,96.30106205873443,-282.7528972227832,83.7918416377191,-295.483132686182,159.24532142308178,0.999999997493635
20,-0.01,0.1,0.5,0.5,53.0820833793575,29.999999954469022,98.64722204854533,-293.08993300027186,83.7918416377191,-308.2060145134918,224.5551411999404,0.9999999984823007
21,0.0,-0.1,0.5,0.5,48.28431700710548,29.94826270691557,89.73902496939797,-252.2266208525523,84.73398740026025,-257.32008338875505,25.492971350690365,0.9982754235638523
22,0.0,-0.05,0.5,0.5,49.54994297141356,29.999999904842834,92.08312704372565,-262.56163895725575,84.73398740026025,-270.04062529448015,54.96411498383196,0.9999999968280945
23,0.0,-0.01,0.5,0.5,50.559054629049854,30.0,93.95845022351824,-270.82961570073707,84.73398740026025,-280.2170588190602,86.59412005042071,1.0
24,0.0,0.0,0.5,0.5,50.81133405384369,30.0,94.42728382712934,-272.8966127486191,84.73398740026025,-282.76117290436883,95.62010571036438,1.0
25,0.0,0.01,0.5,0.5,51.063638943286946,30.0,94.8961647539947,-274.96365795587974,84.73398740026025,-285.30538321593554,105.09444623628252,1.0
26,0.0,0.05,0.5,0.5,52.07309866124556,29.999999928365657,96.77213476694449,-283.23229300981706,84.73398740026025,-295.483132686182,147.47741338970334,0.9999999976121886
27,0.0,0.1,0.5,0.5,53.33510716164154,29.999999953678156,99.11743895938542,-293.56843449330756,84.73398740026025,-308.2060145134918,210.53892316313883,0.9999999984559386
28,0.01,-0.1,0.5,0.5,48.511515442245695,29.610063784340202,90.2135411660793,-252.7027842125086,85.67606740441443,-257.32008338875505,20.95087386197514,0.9870021261446734
29,0.01,-0.05,0.5,0.5,49.80340963882056,29.999999888214496,92.55416701032681,-263.04100142731215,85.67606740441443,-270.04062529448015,48.14411016230311,0.9999999962738165
30,0.01,-0.01,0.5,0.5,50.812521292527016,29.99999992942943,94.42949018179567,-271.3089781810271,85.67606740441443,-280.2170588190602,77.97619595970767,0.9999999976476476
31,0.01,0.0,0.5,0.5,51.06480071614526,30.0,94.89832378125656,-273.37597520693765,85.67606740441443,-282.76117290436883,86.55269931305888,1.0
32,0.01,0.01,0.5,0.5,51.317105580893895,30.0,95.3672046622297,-275.44302036749514,85.67606740441443,-285.30538321593554,95.57751205061388,1.0
33,0.01,0.05,0.5,0.5,52.3265652682686,29.999999931577268,97.24317461967118,-283.71165536124397,85.67606740441443,-295.483132686182,136.16194029952183,0.9999999977192423
34,0.01,0.1,0.5,0.5,53.58857508151549,29.999999847885835,99.58848123604872,-294.04779937721406,85.67606740441443,-308.2060145134918,196.97494809320477,0.9999999949295278
35,0.05,-0.1,0.5,0.5,49.43884268187057,28.072378808184908,92.16049200328584,-254.55998497458265,89.44436975736406,-257.32008338875505,7.496764703667097,0.9357459602728303
36,0.05,-0.05,0.5,0.5,50.81292480273102,29.946718459779113,94.4383916653308,-264.9583749816044,89.44436975736406,-270.04062529448015,25.380869404272424,0.9982239486593038
37,0.05,-0.01,0.5,0.5,51.8263832067728,29.99999988778042,96.31364120705848,-273.2264190639086,89.44436975736406,-280.2170588190602,48.02060208516144,0.9999999962593473
38,0.05,0.0,0.5,0.5,52.07866262651872,29.999999904491055,96.78247479828852,-275.2934161001441,89.44436975736406,-282.76117290436883,54.79918384947946,0.9999999968163685
39,0.05,0.01,0.5,0.5,52.330967487035,29.999999915557904,97.25135566925107,-277.36046125146635,89.44436975736406,-285.30538321593554,62.025893847652625,0.9999999971852634
40,0.05,0.05,0.5,0.5,53.340427053433544,30.0,99.1273254014051,-285.6290959698932,89.44436975736406,-295.483132686182,95.41620043857593,1.0
41,0.05,0.1,0.5,0.5,54.602435403743605,29.999999933877437,101.47262931107957,-295.9652372015271,89.44436975736406,-308.2060145134918,147.23524664754393,0.9999999977959145
42,0.1,-0.1,0.5,0.5,,,,,,,,
43,0.1,-0.05,0.5,0.5,51.96306442831326,27.99672566229372,96.86278562909152,-267.28805951464926,94.15407974046815,-270.04062529448015,7.455891136651108,0.933224188743124
44,0.1,-0.01,0.5,0.5,53.06058388987744,29.5757031252658,98.67248949704268,-275.6191722688626,94.15407974046815,-280.2170588190602,20.77513544803557,0.9858567708421934
45,0.1,0.0,0.5,0.5,53.341359101997234,29.945239774443557,99.13742594414346,-277.6897887652581,94.15407974046815,-282.76117290436883,25.272462897016798,0.9981746591481185
46,0.1,0.01,0.5,0.5,53.59811516461217,29.999999610911424,99.60621050790846,-279.7569225118708,94.15407974046815,-285.30538321593554,30.250933316564797,0.9999999870303807
47,0.1,0.05,0.5,0.5,54.60757472896251,29.99999990412953,101.48218019509355,-288.025557204228,94.15407974046815,-295.483132686182,54.649862279710305,0.9999999968043177
48,0.1,0.1,0.5,0.5,55.869582924775564,30.0,103.82748381592714,-298.3616980957893,94.15407974046815,-308.2060145134918,95.22805055511164,1.0
